detect_id,lat,lon,confidence,matched_mmsi,match_confidence,time_gap_minutes,distance_meters,position_score,heading_score,size_score,speed_score,type_score,temporal_score,is_dark_ship,is_ambiguous
12,36.96409469068416,-76.1132581219353,0.8797680735588074,UNKNOWN,0.0,0.38333333333333336,6954.018018164862,0.00021398671594673754,0.5,0.8094296230304272,0.8374822030339903,1.0,0.9873035114245453,True,False
13,36.940911329860015,-76.43874791683129,0.8743593692779541,UNKNOWN,0.0,77.35,9627.405809693717,0.01653947995024148,0.13309838775807187,0.5267708145481318,0.38673638550817324,0.2,0.07590039932971446,True,False
14,37.05024845730589,-76.55262848217275,0.8734716773033142,UNKNOWN,0.0,77.35,10112.547272728634,0.013450861957419354,0.13309838775807187,0.5376926326666371,0.38661427908160795,0.2,0.07590039932971446,True,False
15,36.954920970308,-76.04226399404031,0.8718645572662354,367493000,0.7384811237103843,0.0,70.09011250793348,0.9161156739876863,0.5,0.5898193725100673,0.9407097961329624,0.2,1.0,False,False
16,37.21029654417569,-76.12882833865075,0.8666613698005676,374832000,0.741814642285406,1.0666666666666667,19.512162473928267,0.976523277441534,0.5,0.5284508079653135,0.8726171382624549,0.2,0.9650691177896804,False,False
17,37.17928661753756,-76.6522325800029,0.8612702488899231,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
18,37.01452556781581,-76.2395014889247,0.8612553477287292,UNKNOWN,0.0,0.0,8455.891482199995,2.5678298150154404e-05,0.8703247258333905,0.6182176576253571,0.5648590157498452,1.0,1.0,True,False
19,37.04324080263523,-76.15053724802449,0.8590060472488403,367769180,0.689747554928106,0.0,74.74572434875107,0.9107998081460239,0.8703247258333905,0.0,0.5136268650301825,1.0,1.0,False,False
20,37.11076012279122,-76.64464529005537,0.8550071716308594,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
21,36.75281712396956,-75.57553412000145,0.8524913787841797,UNKNOWN,0.0,0.6833333333333333,3727.47964125003,0.010243731961268961,0.5,0.5180847943178094,0.8677727651802803,0.2,0.977479677345841,True,False
